8192;0
8161;714
8068;1423
7913;2120
7698;2802
7424;3462
7094;4096
6710;4699
6275;5266
5793;5793
5266;6275
4699;6710
4096;7094
3462;7424
2802;7698
2120;7913
1423;8068
714;8161
0;8192
-714;8161
-1423;8068
-2120;7913
-2802;7698
-3462;7424
-4096;7094
-4699;6710
-5266;6275
-5793;5793
-6275;5266
-6710;4699
-7094;4096
-7424;3462
-7698;2802
-7913;2120
-8068;1423
-8161;714
-8192;0
-8161;-714
-8068;-1423
-7913;-2120
-7698;-2802
-7424;-3462
-7094;-4096
-6710;-4699
-6275;-5266
-5793;-5793
-5266;-6275
-4699;-6710
-4096;-7094
-3462;-7424
-2802;-7698
-2120;-7913
-1423;-8068
-714;-8161
0;-8192
714;-8161
1423;-8068
2120;-7913
2802;-7698
3462;-7424
4096;-7094
4699;-6710
5266;-6275
5793;-5793
6275;-5266
6710;-4699
7094;-4096
7424;-3462
7698;-2802
7913;-2120
8068;-1423
8161;-714
8192;0
